BioFIND,ADNI
-4.963302796,-5.698816226
-1.590018534,-2.377228399
-2.479232208,-2.388093877
-3.157753217,-4.966196613
-0.530815555,-0.775419948
-0.418292637,0.414259815
-0.610518539,0.370413529
0.591004992,0.364763232
-2.312809348,-2.041804428
-1.58045155,-0.022684427
-2.327460411,-1.065961356
-1.993161115,-0.790483655
-1.208963587,-1.093566046
-0.236923998,0.307657179
-0.78917602,-0.168017159
0.208190345,0.252619714
-0.288332407,-0.038710146
-2.326614594,-0.722764966
-1.757706205,-1.194826015
-0.172358517,0.790700836
-0.195381171,0.489816894
-0.664655965,0.870136887
-0.258305786,0.387897625
1.746342349,0.545833194
-0.161186297,1.15063279
-1.490838646,-0.014481078
0.062758997,0.409269649
-2.077322659,-0.708346124
-0.158467935,1.334894905
-0.54523421,0.375552344
-0.526254655,0.157747498
-1.258275623,-0.238182926
-1.728137349,-0.796421265
-0.708405839,0.121211644
-0.137316142,0.526245067
-0.318203629,-0.223441416
1.07099096,-0.06550338
0.060141935,0.559464764
0.94918903,-0.033606056
-1.412280226,-1.667643213
0.024386454,-0.230195051
-0.402213816,-0.382415528
-0.095374615,-0.472090419
-0.067239465,-0.830152395
0.260667079,0.524841815
0.655438021,0.67454524
0.683804337,0.671956571
0.622282487,0.555184056
-0.094512421,-0.270051851
-0.471381834,-1.36293428
0.595830955,0.941075546
0.693858358,1.541077804
1.016247113,0.807526509
0.529710447,0.154287265
1.589624315,0.670812246
0.735339096,1.426801724
-0.018721235,0.133845426
1.073114197,0.348462336
-0.086344491,-0.674362485
1.096363503,0.674776231
0.474848875,0.072151989
0.450668462,-0.075541443
-0.113066772,-0.219763361
0.17629061,-0.702656247
0.326334362,0.195095153
0.394977478,0.198840648
0.497082721,-0.633795789
-0.054218755,0.76441293
-0.141020421,0.322550671
0.246399975,0.69554384
0.483223648,1.713908791
0.055894645,0.280360913
0.401834374,0.317601042
0.04397825,0.291387029
-0.587173832,0.114363959
-0.733592406,-0.176060157
0.519446923,-1.012403488
0.905651158,0.147012323
0.654225939,0.550662456
-0.100803068,0.864372078
0.310308809,0.368823042
0.121044215,0.165127478
0.175385078,0.437777039
0.269834544,0.316158491
-0.302346716,-0.609828641
-0.122258735,0.07271867
-0.043087451,0.004571963
-0.411835022,-0.094085204
0.797900677,-0.173346402
-1.190877927,-2.073225236
0.095209791,-0.481087264
-1.405312658,-1.015635372
-0.009163817,0.574483451
-0.340616247,-0.043368804
-0.056107,1.063794263
0.174327972,0.386076884
-1.297580076,-1.035302466
0.536759535,1.268119493
-0.437230747,-0.586217563
-0.001255548,0.696467516
-0.598126493,-0.303906397
-0.632074431,-0.626778279
-0.257989114,-0.532402439
-0.651865748,-0.687193689
-0.802881084,-0.787722378
-0.011392953,0.682386791
0.530190717,0.259903794
0.558109884,0.497150778
0.805467221,0.693608709
-0.463758546,-0.470248542
1.176558221,-0.064594488
0.730431672,0.677387539
-0.337089326,0.159023497
0.552056677,0.206764036
-0.194174042,-0.105544517
-0.053083179,1.020655002
-0.068883982,-0.299954054
0.11265239,1.082584704
0.19173085,0.395876924
0.030104899,0.787001536
0.035692466,0.13485391
0.274632203,-0.648339047
-0.395962749,-0.546591482
0.836166121,0.701432656
0.027982929,0.18108966
0.152551241,0.780877445
-0.574409928,-0.211619287
-0.446854263,0.659713303
0.063477191,0.627320508
0.386880483,1.021059911
0.495531788,0.582023568
0.231028079,0.874919666
0.138534239,0.239647986
-0.328339636,0.036553733
0.402884181,0.522718093
0.442511194,-0.736807719
0.484672539,0.539633622
-0.421667497,0.357495311
-0.759191641,-0.185362802
-1.07510624,-0.617847064
-0.026857978,0.361772328
0.89588769,0.574568551
0.621672419,0.922910892
0.702533423,0.874539004
1.046707602,1.607687876
1.053059966,-0.108840832
0.773165644,0.26796065
0.563988393,0.389323565
0.526386991,0.453696504
-0.012852425,-0.727644062
0.314386328,-0.848725745
1.185288587,-0.439211196
1.324184431,1.445247887
0.886102859,0.923038615
1.152077038,0.095441005
0.592247527,-0.2798331
0.761463223,0.263503285
1.220912012,-0.425424949
0.832735722,-0.309666229
0.525542285,-0.366032836
0.550291027,0.533460006
0.251970758,-0.089795948
1.027667541,0.595964193
-0.307218054,-1.77354832
0.932450076,0.65848389
-0.013624727,-0.772246499
0.911012949,0.222039242
0.4519954,0.242914587
0.858057565,1.520445959
0.880502362,0.369359091
0.253703946,-0.439155722
0.861689582,0.73729012
0.675016461,0.020877454
0.689343174,0.296473635
0.527927737,-0.112726254
-0.048616611,-0.979609487
