subID.calcFD	label1002	label1003	label1005	label1006	label1007	label1008	label1009	label1010	label1011	label1012	label1013	label1014	label1015	label1016	label1017	label1018	label1019	label1020	label1021	label1022	label1023	label1024	label1025	label1026	label1027	label1028	label1029	label1030	label1031	label1034	label1035	label2002	label2003	label2005	label2006	label2007	label2008	label2009	label2010	label2011	label2012	label2013	label2014	label2015	label2016	label2017	label2018	label2019	label2020	label2021	label2022	label2023	label2024	label2025	label2026	label2027	label2028	label2029	label2030	label2031	label2034	label2035	
Sub1011	2.0007	2.1133	2.0123	1.6177	2.1098	2.1956	2.0075	1.9047	2.1484	2.0972	2.0734	2.0074	2.1246	1.7282	1.9688	2.0945	1.9615	2.0365	1.9802	2.0909	2.0218	2.1517	2.1189	1.9714	2.1525	2.2107	2.0990	2.1238	2.1270	1.8168	2.0932	1.9609	2.1107	1.9734	1.7981	2.0705	2.2345	2.1060	1.8902	2.1644	2.0910	2.0886	2.0373	2.1700	1.8706	2.0040	2.0405	1.9723	2.0417	1.9908	2.0929	2.0298	2.1310	2.1203	1.9232	2.1278	2.2224	2.0612	2.1578	2.1673	1.7327	2.0541	0.0000	
Sub1012	2.0050	2.1285	2.0351	1.9306	2.0903	2.1850	2.2205	1.9600	2.1683	2.1151	2.1053	2.0353	2.1614	1.9747	1.9877	2.0768	1.9620	2.0732	1.9314	2.0847	2.0063	2.1158	2.1216	1.9677	2.1588	2.2304	2.0877	2.1911	2.1443	1.8606	2.0891	2.0006	2.1075	1.9992	2.0016	2.0804	2.2018	2.2074	1.9436	2.1776	2.0920	2.1181	1.9865	2.1701	1.9548	1.9843	2.0623	1.9468	2.1023	1.9468	2.0752	2.0343	2.0775	2.1450	1.9505	2.1747	2.2337	2.0864	2.1946	2.1466	1.7490	2.1059	0.0000	
Sub1013	2.0208	2.0960	1.9142	1.9435	2.1452	2.1918	2.1645	1.9341	2.1178	2.0963	2.0723	2.0322	2.1549	1.9433	1.9931	1.9801	1.9143	2.0182	1.8174	2.0379	2.0005	2.0788	2.1505	1.9732	2.1280	2.2033	2.0819	2.1562	2.1489	1.7606	2.0932	1.9701	2.0742	1.9338	1.9209	2.1244	2.1982	2.1408	1.9536	2.1443	2.0936	2.0667	1.9989	2.1738	1.9397	1.9842	2.0156	1.9440	2.0040	1.8206	2.0100	1.9891	2.0820	2.1215	1.8748	2.1398	2.2030	2.1080	2.1702	2.1430	1.6772	2.0934	0.0000	
Sub1014	1.9747	2.1068	1.9516	1.7510	2.0829	2.1808	2.1005	1.8761	2.1530	2.0801	2.0775	1.9850	2.0966	1.8877	1.9949	2.0174	1.9692	2.0361	1.7748	2.0391	1.9956	2.0948	2.1039	1.9407	2.1277	2.1996	2.0419	2.1476	2.1508	1.7047	2.0392	1.9134	2.0924	1.9549	1.7730	2.0352	2.2009	2.0952	1.9143	2.1380	2.0892	2.0326	2.0041	2.1446	1.8817	1.9613	2.0208	1.9680	2.0213	1.7838	2.0325	1.9782	2.0923	2.0981	1.7616	2.1242	2.2156	2.0528	2.1332	2.1367	1.7074	2.0478	0.0000	
Sub1015	1.9599	2.0653	1.9794	1.9628	2.1170	2.1645	2.1501	1.9467	2.1407	2.0935	2.0784	2.0265	2.1322	1.8752	1.9686	2.0513	1.9122	2.0094	1.8921	1.9910	1.9451	2.0598	2.0947	1.9616	2.1417	2.1802	2.0392	2.1719	2.1278	1.8721	2.0763	1.9708	2.0651	1.9535	1.9450	2.1062	2.1917	2.1056	1.9282	2.1551	2.1024	2.0577	2.0145	2.1707	1.9094	1.9608	2.0321	1.9331	2.0318	1.8951	2.0066	1.9695	2.0816	2.0928	1.9848	2.1387	2.1811	2.0277	2.1671	2.1016	1.7934	2.0785	0.0000	
Sub1016	1.9751	2.1140	1.9651	1.8942	2.1051	2.1570	2.1374	1.8863	2.1799	2.0786	2.0502	2.0087	2.1390	1.8311	2.0289	2.0578	1.9487	2.0507	1.7908	2.0580	1.9305	2.1090	2.1347	1.9618	2.1730	2.1987	2.0691	2.1720	2.1277	1.8947	2.0838	1.8971	2.0974	1.9585	1.7772	2.0706	2.2288	2.1287	1.8419	2.1680	2.1020	2.0683	1.9888	2.1640	1.7929	2.0082	2.0446	1.9929	2.0517	1.8992	1.9954	1.9414	2.1334	2.1227	1.8713	2.1764	2.2075	2.0857	2.2107	2.1485	1.7630	2.0778	0.0000	
Sub1017	1.9836	2.0826	2.0571	1.9350	2.0742	2.1520	2.1496	1.9383	2.1348	2.0998	2.0760	2.0159	2.1377	1.9070	1.9962	2.0360	1.9254	2.0380	1.9457	2.0507	1.9962	2.1120	2.1265	1.9407	2.1323	2.2029	2.0779	2.1666	2.1375	1.8179	2.0886	1.9773	2.0512	2.0368	1.9472	2.0839	2.1782	2.1093	1.9228	2.1572	2.1056	2.0854	1.9981	2.1525	1.9129	2.0018	2.0005	1.9874	2.0279	1.9461	2.0214	2.0050	2.1120	2.1205	1.9072	2.1084	2.1968	2.0901	2.1676	2.1307	1.7100	2.0919	0.0000	
Sub1018	1.9448	2.0507	1.9423	1.7819	2.1048	2.1906	2.1010	1.9178	2.1403	2.0664	2.0280	1.9617	2.1271	1.7713	1.9778	2.0460	1.9631	2.0544	1.7613	2.0485	1.9853	2.0915	2.1136	1.9398	2.0922	2.1834	2.0964	2.0642	2.1556	1.7875	2.0346	1.9825	2.0895	1.9354	1.7647	2.1027	2.2134	2.0756	1.8752	2.1359	2.0602	2.0544	1.9863	2.1438	1.8142	1.9722	2.0682	1.9491	2.0335	1.8094	2.0190	1.9873	2.0864	2.1130	1.9202	2.1211	2.1966	2.0834	2.1475	2.1542	1.7416	2.0589	0.0000	
Sub1019	2.0375	2.1313	2.0341	1.7806	2.1604	2.1625	2.1212	1.8802	2.2143	2.1210	2.0858	1.9974	2.1379	1.8069	2.0379	2.0682	1.9670	2.0413	1.8913	2.1166	2.0535	2.1521	2.1060	2.0186	2.1642	2.2240	2.1040	2.1643	2.1638	1.8092	2.0731	1.9416	2.1013	2.0338	1.7889	2.1765	2.2258	2.1384	1.9198	2.2264	2.1276	2.1144	2.0033	2.1680	1.8546	2.0354	2.0728	2.0089	2.0679	1.9174	2.0643	2.0350	2.1443	2.1724	1.9612	2.1535	2.2452	2.1006	2.1477	2.1638	1.7510	2.0861	0.0000	
Sub1020	2.0029	2.1134	1.9502	1.8812	2.1052	2.1955	2.2093	1.9410	2.1616	2.0996	2.0679	2.0081	2.1672	1.8481	1.9949	2.0434	1.9384	2.0178	1.9350	2.0764	2.0129	2.1190	2.1030	2.0092	2.1438	2.2245	2.0815	2.1784	2.1862	1.7910	2.0821	1.8504	2.1084	1.9745	1.9630	2.1133	2.2345	2.2128	1.9175	2.1644	2.1032	2.1114	2.0173	2.1909	1.8548	2.0037	2.0697	1.9400	2.0291	1.9389	2.0419	2.0019	2.1137	2.1046	1.9445	2.1466	2.2450	2.1025	2.1902	2.1760	1.7477	2.0796	0.0000	
